391,St Leonards Primary School,Jervois Street,Glenelg North,5045,-34.972261,138.519785
395,Sandy Creek Primary School,Davies Road,Cockatoo Valley,5351,-34.610068,138.829663
396,Scott Creek Primary School,519 Scott Creek Road,Scott Creek,5153,-35.056668,138.706377
397,Seaton Park Primary School,80 Balcombe Avenue,Seaton,5023,-34.895535,138.519943
406,Solomontown Primary School,79 Three Chain Road,Port Pirie,5540,-33.18994,138.019589
407,Spalding Primary School,Edgeware Avenue,Spalding,5454,-33.496312,138.611066
408,Springton Primary School,,Springton,5235,-34.706581,139.088713
411,Stansbury Primary School,North Terrace,Stansbury,5582,-34.907661,137.794614
413,Stirling East Primary School,51 Braeside Road,Stirling,5152,-35.002222,138.734746
418,Eastern Fleurieu Strath R-6 Campus,34 East Terrace,Strathalbyn,5255,-35.256204,138.898587
419,Athelstone School,8 Brookside Road,Athelstone,5076,-34.867631,138.699613
422,Suttontown Primary School,Pine Hall Avenue,Suttontown,5291,-37.797141,140.76955
423,Swan Reach Area School,,Swan Reach,5354,-34.571572,139.604009
424,Tailem Bend Primary School,1 Murray Street,Tailem Bend,5260,-35.259104,139.457249
425,Auburn Primary School,St Vincent Street,Auburn,5451,-34.026172,138.683695
426,Tantanoola Primary School,Randall Street,Tantanoola,5280,-37.698965,140.454535
427,Tanunda Primary School,Research Road,Tanunda,5352,-34.526253,138.959337
430,Tarlee Primary School,38-42 Craig Street,Tarlee,5411,-34.269925,138.772668
432,Tea Tree Gully Primary School,7-9 Neale Street,Tea Tree Gully,5091,-34.822942,138.727177
438,Tintinara Area School,37 Wendt Terrace,Tintinara,5266,-35.882498,140.060951
442,Truro Primary School,1 Burr Street,Truro,5356,-34.4112,139.12638
444,Two Wells Primary School,Gawler Road,Two Wells,5501,-34.591316,138.516996
446,Ungarra Primary School,Ashman Terrace,Ungarra,5607,-34.18083,136.047417
447,Unley Primary School,222 Wattle Street,Unley,5061,-34.953509,138.61001
448,Upper Sturt Primary School,118 Upper Sturt Road,Upper Sturt,5156,-35.018986,138.683375
449,Uraidla Primary School,17 Kidney Street,Uraidla,5142,-34.959029,138.743391
453,Victor Harbor R-7 School,The Parkway,Victor Harbor,5211,-35.540745,138.624353
455,Virginia Primary School,Park Road,Virginia,5120,-34.664481,138.555693
456,Waikerie Primary School,23 Coombe Terrace,Waikerie,5330,-34.181117,139.981115
457,Walkerville Primary School,159 Stephen Terrace,Walkerville,5081,-34.895194,138.613241
459,Wallaroo Primary School,Hughes Street,Wallaroo,5556,-33.932746,137.624271
460,Wallaroo Mines Primary School,Lipson Avenue,Kadina,5554,-33.965894,137.69872
467,Warooka Primary School,47 Main Street,Warooka,5577,-34.990788,137.399042
469,Wasleys Primary School,Annie Terrace,Wasleys,5400,-34.471428,138.680561
470,Watervale Primary School,27 Main North Road,Watervale,5452,-33.960982,138.644648
473,Allenby Gardens Primary School,Barham Street,Allenby Gardens,5009,-34.90181,138.554862
474,Trinity Gardens Primary School,160 Portrush Road,Trinity Gardens,5068,-34.907992,138.641783
